Player,Pick,Minutes Played,DraftYear
Tito Maddox,38,3.9,2002
Rod Grizzard,39,,2002
Juan Carlos Navarro,40,25.8,2002
Mario Kasun,41,7.8,2002
Ronald Murray,42,22.7,2002
Jason Jennings,43,,2002
Lonny Baxter,44,11.6,2002
Sam Clancy,45,,2002
Matt Barnes,46,23.6,2002
Jamal Sampson,47,8.8,2002
Chris Owens,48,6.0,2002
Peter Fehse,49,,2002
Darius Songaila,50,18.6,2002
Federico Kammerichs,51,,2002
Marcus Taylor,52,,2002
Rasual Butler,53,21.3,2002
Tamar Slay,54,7.8,2002
Mladen Sekularac,55,,2002
Luis Scola,56,25.6,2002
Randy Holcomb,57,2.8,2002
Corsley Edwards,58,11.0,2002
LeBron James,1,37.8,2003
Darko MiliÄiÄ,2,18.5,2003
Carmelo Anthony,3,34.5,2003
Chris Bosh,4,35.8,2003
Dwyane Wade,5,33.9,2003
Chris Kaman,6,26.7,2003
Kirk Hinrich,7,30.7,2003
T.J. Ford,8,27.7,2003
Mike Sweetney,9,15.5,2003
Jarvis Hayes,10,23.2,2003
MickaÃ«l PiÃ©trus,11,21.5,2003
Nick Collison,12,20.4,2003
Marcus Banks,13,16.0,2003
Luke Ridnour,14,26.1,2003
Reece Gaines,15,8.5,2003
Troy Bell,16,5.7,2003
Å½arko Äabarkapa,17,10.3,2003
David West,18,28.2,2003
Sasha PavloviÄ,19,15.7,2003
Dahntay Jones,20,15.7,2003
Boris Diaw,21,27.0,2003
Zoran PlaniniÄ,22,10.7,2003
Travis Outlaw,23,20.9,2003
Brian Cook,24,13.4,2003
Carlos Delfino,25,22.8,2003
Ndudi Ebi,26,4.5,2003
Kendrick Perkins,27,21.9,2003
Leandro Barbosa,28,21.6,2003
Josh Howard,29,30.3,2003
Round 2,,Per Game,2003
Player,Pk,MP,2003
Maciej Lampe,30,9.9,2003
Jason Kapono,31,17.8,2003
Luke Walton,32,17.2,2003
Jerome Beasley,33,2.5,2003
Sofoklis Schortsanitis,34,,2003
Szymon Szewczyk,35,,2003
Mario Austin,36,,2003
Travis Hansen,37,12.4,2003
Steve Blake,38,23.9,2003
Slavko VraneÅ¡,39,3.0,2003
Derrick Zimmerman,40,16.0,2003
Willie Green,41,20.2,2003
Zaza Pachulia,42,20.3,2003
Keith Bogans,43,21.6,2003
Malick Badiane,44,,2003
Matt Bonner,45,16.9,2003
Sani BeÄiroviÄ,46,,2003
Mo Williams,47,29.2,2003
James Lang,48,5.0,2003
James Jones,49,15.7,2003
Paccelis Morlende,50,,2003
Kyle Korver,51,25.3,2003
Remon van de Hare,52,,2003
Tommy Smith,53,,2003
NedÅ¾ad SinanoviÄ,54,,2003
Rick Rickert,55,,2003
Brandon Hunter,56,9.4,2003
Xue Yuyang,57,,2003
Andreas Glyniadakis,58,6.2,2003
Dwight Howard,1,31.8,2004
Emeka Okafor,2,30.9,2004
Ben Gordon,3,27.4,2004
Shaun Livingston,4,20.6,2004
Devin Harris,5,24.3,2004
Josh Childress,6,26.7,2004
Luol Deng,7,34.3,2004
Rafael AraÃºjo,8,11.4,2004
Andre Iguodala,9,32.1,2004
Luke Jackson,10,9.9,2004
Andris BiedriÅÅ¡,11,21.6,2004
Robert Swift,12,15.5,2004
Sebastian Telfair,13,21.5,2004
Kris Humphries,14,17.8,2004
Al Jefferson,15,28.7,2004
